CountryCode,SeriesCode,Year,DESCRIPTION
"GBR","SI.DST.FRST.20","YR1993","Based on data from FES-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1994","Based on data from FRS-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1995","Based on data from FRS-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1996","Based on data from FRS-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1997","Based on data from FRS-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1998","Based on data from FRS-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR1999","Based on data from FRS-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR2000","Based on data from FRS-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR2001","Based on data from FRS-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR2002","Based on data from FRS-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR2003","Based on data from FRS-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR2004","Based on data from FRS-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR2005","Based on data from FRS-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR2006","Based on data from FRS-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR2007","Based on data from FRS-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR2008","Based on data from FRS-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR2009","Based on data from FRS-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR2010","Based on data from FRS-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR2011","Based on data from FRS-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR2012","Based on data from FRS-LIS. Estimated from unit-record income data."
"GBR","SI.DST.FRST.20","YR2013","Based on data from FRS-LIS. Estimated from unit-record income data."
